V1,MID,ip.location,not.mturk.duplicate
R_eswaXe71gl9qiqh,A2CNNBX9KLQUQJ,USA,1
R_3ltk7PKPRA37taJ,A2CZGKI3K6ZT7R,USA,1
R_0vt9vu81Jci6trn,A2D50KS58QB1BN,USA,1
R_9QyeThua7Ei4IjX,A2DAEM674ZDADH,USA,1
R_29a33SNTHIqIpwx,A2DB5PGPTMYVSD,USA,1
R_5nlU45BUvRuosn3,A2DC6TG86OSCRK,USA,1
R_4PkZ5410Ey6GNrD,A2E5ZHT6DQZ4E4,USA,1
R_6opvJZDa7361TvL,A2EL6CXCGP4OB0,India,1
R_5aKgKG9okRjIDTD,A2F1JTU06CO6VD,USA,1
R_8jLaC7BYOLfYjGt,A2FQRMIL3DSKI4,USA,1
R_2fxbfDED4W0GooB,A2FV7KXQ96EO9O,USA,1
R_81haKEJE02EJPvv,A2FWVVYTEI2TOG,USA,1
R_3JdVLxGTSaohtFH,A2GEFC6X75ILDA,USA,1
R_eUUTsQrdWBUKq5T,A2H1QUGX0SOUMH,USA,1
R_8q1SEwjENvbGQ2V,A2H4HYDU6FFAMQ,USA,1
R_eagerpO7uF374Xj,A2HBWO2P8Z6ZN3,USA,1
R_5iD9Ov4eTgZYk5f,A2HGRSPR50ENHL,USA,1
R_cUgbJs7Z5DcMAn3,A2HHKBW8HQWI66,USA,1
R_5uaP2g8V6griB2l,A2HJUGBAX6Q8W6,USA,1
R_6KbgYFeswtpZlop,A2I5G6WIA0DNX3,India,1
R_3KLmMb2VDWtvI7b,A2I5MNPSIK59SW,USA,1
R_001XEbJLCThEUyV,A2IBLAKBXPA6PQ,India,1
R_enfJOQfMPZhAqfH,A2J5DN5UMU0A3Z,USA,1
R_2afepuxzP4VNAAR,A2JMC4D3ZFJH0V,USA,1
R_eCGtYgOvgQb2lhP,A2JPOXYZM5AJZZ,USA,1
R_3TTt8QdCvkfv5sN,A2KEEU97SY67BK,USA,1
R_cwo9XrjLv3G8bEF,A2KJHPO5XPM3UJ,USA,1
R_e36xqTQJyt6n1Gd,A2KM76DTOSO3SI,USA,1
R_a3RLU4jkz7uyVI9,A2KPT0PEUEXCC4,USA,1
R_eyydmKoiuplG4At,A2M4YIC3XU2693,USA,1
R_bC72AoKQjeOyN1P,A2MBD2MOD4S9E7,USA,1
R_5dpGwiTJaFkEg0B,A2MCG5W6LHSRG9,USA,1
R_2ozxjkgcqzkIz2Z,A2MUEX6SZP0LDG,USA,1
R_250C9lXbqmSTCEl,A2N9K5FCGQ60Y4,USA,1
R_4HDOdeepUXsiZZX,A2NJ7N8INZOB00,USA,1
