"","a","mTurkCode","V8","V9","V10","X6","Cognitive load","Had read","Q1","Q2_1","Q3","Q4_1","Q6","Q7_1","Q8","Q9_1","Q11_1","Q14_1","Q13","end.num","eff.split","badness","importance","count.eff","count.hard"
"1","ResponseID","mTurkCode","StartDate","EndDate","Finished","Exclude","Cognitive load","Had read","Please read the directions carefully. /  /    /  /  In this short study, you will be asked to complete two t...","Start with the number: 564 /  /    /  /  While counting backwards, read the following scenario. /  /   /   /  /  Imagi...-&nbsp;","STOP COUNTING! What number did you end on?","It / is often very difficult to complete two tasks simultaneously. Please indicate / how much effort you...-&nbsp;","Please read the directions carefully. /   /   /  /   In this short study, you will be asked to complete two...","Start with the number: 564 /  /    /  /  While counting backwards, read the following scenario. /  /    /  /  /  Imagi...-&nbsp;","STOP COUNTING! What number did you end on?","It / is often very difficult to complete two tasks simultaneously. Please indicate / how much effort you...-&nbsp;","Please read the following scenario carefully. /  /   /  Imagine that you are in a large lecture with a few...-&nbsp;","Please read the following scenario carefully.  /    /  /  Imagine that you are in a large lecture with a f...-&nbsp;","Thank you for participating in this study. ξ If you have any comments about it, please enter them...",NA,NA,NA,NA,NA,NA
"94","R_PtYcMYWtg7PhzTH","4232713","3/24/17 16:27","3/24/17 16:45","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"95","R_2e2xDwt25G6B35U","4231111","3/24/17 16:27","3/24/17 16:45","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA
"96","R_3LdwteGFzqjo89u","4234115","3/24/17 16:27","3/24/17 16:46","1",NA,"1","0",NA,NA,NA,NA,"1","1","531","0",NA,NA,NA,531,0,NA,NA,NA,NA
"97","R_2rjeH4XckwUyrK5","4238269","4/4/17 11:33","4/4/17 11:35","1",NA,"1","1","1","7","518","3",NA,NA,NA,NA,NA,NA,NA,518,3,NA,NA,NA,NA
"98","R_6G2QIAJZbyIh4RP","4231051","4/4/17 11:33","4/4/17 11:36","1",NA,"1","1","1","7","520","3",NA,NA,NA,NA,NA,NA,"Paying attention to the details in the reading (ex. where the student was sitting) was a lot harder to remember than the generic info because of the counting.",520,3,NA,NA,NA,NA
"99","R_3n0joeLrv6ru5QW","4230107","4/4/17 11:38","4/4/17 11:42","1",NA,"1","1","1","1","507","3",NA,NA,NA,NA,NA,NA,NA,507,3,NA,NA,NA,NA
"100","R_1MM9DBnbm0rMIgZ","4236200","4/4/17 13:00","4/4/17 13:00","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"101","R_3CPjJlf2ImaXT5J","4234593","4/4/17 12:59","4/4/17 13:00","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA
"102","R_2wjbE5kahjwnrNf","4234652","4/4/17 12:59","4/4/17 13:01","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA
"103","R_1gOBHRVP2u5pOOv","4232345","4/4/17 12:58","4/4/17 13:01","1",NA,"1","1","1","3","531","4",NA,NA,NA,NA,NA,NA,"Reading is easier than counting backwards so I let that be more on autopilot",531,4,NA,NA,NA,NA
"104","R_z1qdO8qgaC4onbb","4237938","4/4/17 13:00","4/4/17 13:02","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,NA
"105","R_3ktgRaDl1CjZoZI","4236805","4/4/17 16:02","4/4/17 16:04","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA
"106","R_21yoSvTm4gEJfhf","4238723","4/4/17 16:02","4/4/17 16:04","1",NA,"1","1","1","5","561","0",NA,NA,NA,NA,NA,NA,NA,561,0,NA,NA,NA,NA
"107","R_3fP0PbVHhHfOgrE","4235521","4/4/17 16:04","4/4/17 16:05","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA
"108","R_2EbKa7TEmqT2eak","4231977","4/4/17 16:04","4/4/17 16:06","1",NA,"1","1","1","5","11","4",NA,NA,NA,NA,NA,NA,"no",11,4,NA,NA,NA,NA
